isWon;countHitChances;countTokenInHome;countTokenInStart;countComingOut;turnCount
0;50;0;0;20;1004
0;75;3;0;23;1721
1;83;4;0;29;1704
0;71;0;2;21;1208
1;74;4;0;28;1311
0;55;0;3;21;1002
0;46;1;0;21;721
0;36;3;0;11;787
1;80;4;0;32;1459
0;55;0;1;19;925
1;64;4;0;21;1396
0;58;0;2;24;1266
1;36;4;0;10;542
0;81;0;2;34;1534
1;85;4;0;26;1674
0;49;0;3;21;1113
1;58;4;0;19;1170
0;62;0;3;27;1216
1;76;4;0;20;1246
0;88;0;3;35;1767
1;31;4;0;10;501
0;102;0;0;39;1976
1;50;4;0;13;1089
0;89;0;0;38;1465
0;28;2;1;8;439
0;63;2;1;21;1211
1;73;4;0;24;1430
0;61;0;0;25;1322
1;42;4;0;12;732
0;60;0;1;24;1191
1;53;4;0;16;1056
0;56;0;2;23;932
0;88;2;1;27;1840
1;39;4;0;11;726
0;59;0;1;18;1121
0;44;3;0;17;974
1;41;4;0;12;605
0;89;0;1;28;1540
0;54;3;0;20;1129
0;35;1;1;13;701
1;55;4;0;19;911
0;79;0;0;29;1550
1;32;4;0;8;643
0;76;0;1;28;1566
1;39;4;0;11;593
0;53;0;1;21;843
0;48;2;0;14;842
1;49;4;0;9;649
0;58;0;3;25;1112
0;51;3;0;17;974
1;46;4;0;13;800
0;78;0;2;27;1356
1;62;4;0;17;1191
0;50;0;3;21;1230
0;50;1;2;22;977
1;25;4;0;6;466
0;29;0;0;11;610
1;56;4;0;19;933
0;82;0;0;29;1414
1;66;4;0;20;1363
0;53;0;1;22;909
0;67;2;0;27;1235
0;72;3;0;18;1306
1;54;4;0;17;849
0;54;0;2;19;1113
1;53;4;0;15;865
0;47;0;1;15;816
1;56;4;0;13;1042
0;96;0;0;39;1623
1;67;4;0;22;1542
0;78;0;2;30;1507
1;62;4;0;23;1058
0;67;0;2;22;1235
1;46;4;0;14;926
0;123;0;1;51;2345
0;37;2;0;12;702
1;65;4;0;18;1189
0;64;0;3;19;959
1;56;4;0;15;794
0;37;0;3;17;1081
1;40;4;0;13;767
0;45;0;3;18;895
0;126;1;2;40;2092
0;71;3;0;25;1816
1;39;4;0;10;636
0;48;0;1;17;747
1;42;4;0;15;737
0;83;0;2;26;1272
1;49;4;0;13;1145
0;35;0;3;13;724
1;50;4;0;17;1087
0;107;0;2;35;1951
0;57;2;1;20;986
0;49;3;0;21;1125
1;65;4;0;22;1585
0;47;0;2;21;1033
0;65;3;0;24;1353
0;36;2;0;14;798
0;73;3;0;29;1692
1;27;4;0;8;364
0;70;0;0;24;1318
1;72;4;0;22;1252
0;66;0;2;25;1117
0;48;3;0;17;804
1;56;4;0;21;1177
0;88;0;3;28;1411
1;80;4;0;25;1396
0;68;0;2;30;1145
0;59;3;0;18;1216
0;53;3;0;14;942
1;55;4;0;17;938
0;67;0;2;24;1257
1;69;4;0;19;1271
0;42;0;3;18;976
1;44;4;0;12;733
0;59;0;3;23;1111
0;72;2;1;22;1362
0;63;2;1;19;1067
0;121;3;0;36;1917
1;90;4;0;32;1973
0;49;0;3;17;1167
0;51;3;0;12;1023
0;51;3;0;19;1156
0;47;3;0;13;829
0;55;2;1;18;1121
1;54;4;0;14;850
0;51;0;2;15;894
1;33;4;0;10;570
0;87;0;2;34;1633
1;69;4;0;18;1047
0;51;0;3;19;1124
1;37;4;0;14;789
0;76;0;0;30;1358
0;34;3;0;10;634
1;56;4;0;21;1090
0;52;0;2;23;1080
1;38;4;0;10;904
0;99;0;0;36;1834
0;74;1;2;24;1371
1;42;4;0;12;812
0;32;0;1;13;701
0;86;3;0;27;2015
1;52;4;0;18;921
0;92;0;0;32;1885
0;90;3;0;25;1679
0;63;3;0;18;1475
0;42;3;0;10;727
1;38;4;0;11;624
0;79;0;2;33;1222
0;50;2;0;16;1012
1;33;4;0;9;582
0;80;0;3;27;1540
1;52;4;0;18;1008
0;42;0;1;18;787
1;51;4;0;17;911
0;75;0;3;28;1475
1;59;4;0;22;1557
0;48;0;3;20;1036
1;50;4;0;14;916
0;78;0;0;30;1550
0;45;0;1;20;840
0;77;3;0;23;1581
0;63;2;1;23;1362
1;33;4;0;9;582
0;110;0;2;35;2221
1;39;4;0;17;899
0;69;0;0;26;1304
1;62;4;0;18;1281
0;49;0;2;19;1021
1;47;4;0;20;1162
0;95;0;1;33;1554
1;80;4;0;25;1726
0;91;0;2;33;1493
0;50;3;0;16;1244
1;57;4;0;16;1105
0;148;0;1;52;2494
1;27;4;0;6;361
0;60;0;3;21;1156
0;51;2;0;19;1021
0;54;3;0;21;1255
1;51;4;0;17;954
0;26;0;0;11;528
1;34;4;0;7;461
0;51;0;0;19;1131
1;61;4;0;22;1376
0;42;0;1;16;709
1;30;4;0;9;479
0;71;0;3;27;1691
0;68;2;1;20;1294
1;67;4;0;18;1186
0;51;0;3;17;900
1;59;4;0;22;1239
0;101;0;2;25;1346
0;52;3;0;14;1011
0;55;2;1;18;1127
1;39;4;0;14;641
0;85;0;1;35;1678
0;51;2;0;12;767
1;40;4;0;14;693
0;93;0;3;37;1691
1;64;4;0;22;1348
0;94;0;3;34;1661
1;54;4;0;18;951
0;65;0;2;24;1189
1;60;4;0;21;1174
0;70;0;2;26;1139
1;32;4;0;12;544
0;109;0;2;38;1570
1;43;4;0;9;532
0;40;0;2;17;683
1;44;4;0;13;883
0;78;0;1;26;1251
0;44;3;0;16;1162
1;48;4;0;13;728
0;56;0;2;16;939
1;51;4;0;17;952
0;66;0;2;26;1081
1;71;4;0;20;1320
0;109;0;2;41;2060
0;49;2;0;12;991
1;36;4;0;10;473
0;53;0;1;19;1056
0;39;2;0;13;714
0;46;2;1;17;951
1;38;4;0;15;854
0;96;0;1;34;2093
1;47;4;0;15;1005
0;88;0;0;31;1586
0;46;2;0;17;790
1;44;4;0;16;866
0;102;0;1;37;1983
1;74;4;0;27;1657
0;85;0;2;32;1453
1;39;4;0;12;493
0;80;0;3;35;1810
0;32;3;0;11;622
1;42;4;0;13;567
0;57;0;1;20;1109
1;56;4;0;20;1091
0;79;0;2;28;1547
1;27;4;0;6;530
0;110;0;2;44;1865
1;60;4;0;14;773
0;62;0;3;21;1111
0;63;3;0;23;1250
1;56;4;0;14;1336
0;63;0;1;25;1248
1;34;4;0;10;499
0;96;0;2;38;1616
1;59;4;0;20;1100
0;39;0;2;15;884
1;68;4;0;20;1290
0;33;0;3;11;802
0;42;3;0;11;916
1;57;4;0;16;1275
0;55;0;3;21;978
1;53;4;0;16;1186
0;140;0;3;47;2232
1;51;4;0;15;827
0;41;0;1;17;729
1;32;4;0;9;776
0;97;0;2;35;1994
0;54;3;0;15;916
0;55;3;0;17;1094
0;57;2;0;18;999
1;55;4;0;17;1076
0;55;0;0;21;923
1;41;4;0;11;596
0;63;0;3;19;1344
0;47;2;1;14;793
0;69;3;0;28;1467
0;63;3;0;21;1325
1;61;4;0;17;1117
0;73;0;2;23;1220
1;64;4;0;19;1213
0;70;0;3;28;1355
0;65;3;0;16;1203
0;44;1;1;17;914
1;50;4;0;18;1088
0;65;0;3;25;928
1;30;4;0;8;410
0;85;0;0;33;1879
1;46;4;0;11;818
0;29;0;1;13;715
0;69;3;0;20;1329
0;17;0;3;7;404
0;42;1;2;16;819
1;38;4;0;11;600
0;65;0;3;20;1154
1;67;4;0;17;1372
0;23;0;3;8;627
0;43;1;0;18;574
1;58;4;0;18;1108
0;90;0;2;34;1561
1;61;4;0;22;1334
0;103;0;1;42;2291
0;53;2;0;16;814
1;42;4;0;14;834
0;90;0;3;35;1831
0;52;2;1;13;1179
0;50;0;2;19;1142
1;41;4;0;11;802
0;49;0;3;22;1002
1;38;4;0;10;797
0;98;0;2;34;1394
1;84;4;0;34;1478
0;68;0;2;25;1073
0;49;3;0;9;897
1;126;4;0;43;2781
0;76;0;1;37;1690
0;56;3;0;15;798
1;61;4;0;18;1283
0;87;0;2;33;1622
1;54;4;0;13;1101
0;68;0;3;22;1125
1;20;4;0;7;462
0;49;0;0;17;771
1;41;4;0;12;882
0;112;0;2;38;1600
1;43;4;0;14;741
0;66;0;0;27;1136
1;50;4;0;17;1204
0;134;0;2;46;2321
1;66;4;0;17;1348
0;76;0;1;23;1332
1;40;4;0;9;756
0;63;0;3;25;1115
0;49;3;0;22;1089
1;69;4;0;20;1171
0;86;0;2;35;1883
1;40;4;0;11;815
0;83;0;2;36;1553
1;27;4;0;8;469
0;58;0;1;24;1169
1;27;4;0;6;588
0;74;0;1;29;1340
1;69;4;0;24;1362
0;77;0;3;28;1368
0;60;3;0;16;1129
0;46;2;0;16;759
1;32;4;0;9;754
0;73;0;0;27;1285
0;37;3;0;8;873
1;54;4;0;19;1196
0;107;0;3;38;1979
1;29;4;0;6;445
0;74;0;2;30;1512
0;52;3;0;20;1080
0;57;3;0;21;1186
1;51;4;0;14;950
0;119;0;1;43;2135
0;70;3;0;23;1493
1;37;4;0;11;800
0;87;0;3;29;1859
0;24;2;1;10;448
1;61;4;0;16;1245
0;79;0;2;28;1213
1;57;4;0;16;1226
0;71;0;2;28;1341
0;45;2;0;12;739
1;43;4;0;14;701
0;79;0;0;35;1734
0;38;3;0;12;728
1;40;4;0;12;806
0;81;0;0;29;1401
1;42;4;0;15;759
0;54;0;2;21;919
0;92;2;1;32;1706
0;89;3;0;27;1598
1;45;4;0;11;687
0;78;0;1;31;1383
0;44;3;0;17;915
1;53;4;0;16;1091
0;47;0;2;19;1178
1;69;4;0;24;1276
